2025-07-23 13:07:53,574 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 13:07:53,574 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 13:07:53,577 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 13:07:53,578 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 13:07:53,579 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 13:08:08,669 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: 'planogram_image'
2025-07-23 13:22:10,392 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 13:22:10,393 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 13:22:10,395 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 13:22:10,396 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 13:22:10,399 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 13:22:22,577 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: 'planogram_image'
2025-07-23 13:28:16,770 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 13:28:16,771 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 13:28:16,773 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 13:28:16,774 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 13:28:16,776 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 13:28:24,820 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: 'planogram_image'
2025-07-23 13:38:56,064 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 13:38:56,064 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 13:38:56,065 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 13:38:56,065 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 13:38:56,066 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 13:39:00,830 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: 'planogram_image'
2025-07-23 13:42:55,279 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 13:42:55,280 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 13:42:55,280 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 13:42:55,281 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 13:42:55,281 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 13:43:00,045 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: 'planogram_image'
2025-07-23 13:47:23,628 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 13:47:23,629 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 13:47:23,630 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 13:47:23,630 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 13:47:23,631 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 13:47:28,214 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: 'planogram_image'
2025-07-23 13:53:59,580 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 13:53:59,582 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 13:53:59,583 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 13:53:59,584 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 13:53:59,584 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 13:54:06,463 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: 'planogram_image'
2025-07-23 14:16:17,833 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 14:16:17,833 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
