product_name                                                                                           , series       , category      , subcategory   , brand          , width, height, depth, core_product, frequency
Targus Turbo QUAD USB Travel Charger                                                                   , Mac Universal, charger       , Default       , Targus         ,   6.0,    4.8,   7.5, Mac         ,         1
Tucano BIZIP-AGS Bagpack 16                                                                            , Mac Universal, bag           , Default       , Tucano         ,  35.0,    8.0,  28.0, Mac         ,         5
Tucano Colore Sleeve 13 /14 -Fuschia                                                                   , Mac Universal, sleeve        , Default       , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         2
Tucano Colore Sleeve 13 /14 -Yellow                                                                    , Mac Universal, sleeve        , Yellow        , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
Tucano Colore Sleeve 13/14                                                                             , Mac Universal, sleeve        , Default       , Tucano         ,  30.0,    0.3,  20.0, Mac         ,        67
Tucano Dark Bag 13/14                                                                                  , Mac Universal, bag           , Default       , Tucano         ,  35.0,    8.0,  28.0, Mac         ,        64
Tucano Dark Slim bag 13 /14 -Red                                                                       , Mac Universal, bag           , Red           , Tucano         ,  35.0,    8.0,  28.0, Mac         ,         3
Tucano Dark Slimbag-Black Macbooks 13   14                                                             , MacBook      , bag           , Black         , Tucano         ,  35.0,    8.0,  28.0, Mac         ,        40
Tucano Dritta 15.6 Bag -Black Colour                                                                   , Mac Universal, bag           , Black         , Tucano         ,  35.0,    8.0,  28.0, Mac         ,         8
Tucano Dritta 15.6 Bag -Burgandy Colour                                                                , Mac Universal, bag           , Burgandy      , Tucano         ,  35.0,    8.0,  28.0, Mac         ,         9
Tucano Elements 2 Sleeve 13  - Black                                                                   , Mac Universal, sleeve        , Black         , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
Tucano Elements 2 Sleeve 13  - Blue                                                                    , Mac Universal, sleeve        , Blue          , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
Tucano Elements 2 Sleeve 13  - Grey                                                                    , Mac Universal, sleeve        , Grey          , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
Tucano Elements 2 Sleeve 14  - Black                                                                   , Mac Universal, sleeve        , Black         , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
Tucano Elements MBP 16 Space Grey Sleeve                                                               , Mac Universal, sleeve        , Grey          , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
Tucano Faux Leather Sleeve-Black(13)                                                                   , Mac Universal, sleeve        , Black         , Tucano         ,  30.0,    0.3,  20.0, Mac         ,        12
Tucano Faux Leather Sleeve-Grey(13)                                                                    , Mac Universal, sleeve        , Grey          , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         7
Tucano Faux Leather Sleeve-Yellow(13)                                                                  , Mac Universal, sleeve        , Yellow        , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         6
Tucano Gommo Backpack 15 /16 -Yellow                                                                   , Mac Universal, bag           , Yellow        , Tucano         ,  35.0,    8.0,  28.0, Mac         ,         1
Tucano Gommo Backpack-Black upto Macbook 16                                                            , MacBook      , bag           , Black         , Tucano         ,  35.0,    8.0,  28.0, Mac         ,        16
Tucano Gommo Backpack-Blue upto Macbook 16                                                             , MacBook      , bag           , Blue          , Tucano         ,  35.0,    8.0,  28.0, Mac         ,         6
Tucano Gommo Bag 15 /16  - Blue                                                                        , Mac Universal, bag           , Blue          , Tucano         ,  35.0,    8.0,  28.0, Mac         ,         1
Tucano Gommo Shoulder Bag-Black upto Macbooks 16                                                       , MacBook      , bag           , Black         , Tucano         ,  35.0,    8.0,  28.0, Mac         ,        19
Tucano Gommo Sleeve 13 /14  - Yellow                                                                   , Mac Universal, sleeve        , Yellow        , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
Tucano Gommo Sleeve 15 /16  - Grey                                                                     , Mac Universal, sleeve        , Grey          , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
Tucano Gommo Sleeve Laptops upto 15.6   Macbooks upto 16 -Military Green                               , MacBook      , sleeve        , Green         , Tucano         ,  30.0,    0.3,  20.0, Mac         ,        30
Tucano Gommo Sleeve Laptops upto 15.6   Macbooks upto 16 -Yellow                                       , MacBook      , sleeve        , Yellow        , Tucano         ,  30.0,    0.3,  20.0, Mac         ,        17
Tucano Gommo Sleeve Ultrabooks   Macbooks 13 -Grey                                                     , MacBook      , sleeve        , Grey          , Tucano         ,  30.0,    0.3,  20.0, Mac         ,        55
