core_product,accessory_category,accessory_name,purchase_count,attach_rate
iPhone 15,Case,Gripp Slim Fit Magsafe Case for Apple  iPhone 15 Max  6.7  - Blue,4,1.3574737413673155e-05
iPhone 15,Case,Gripp Rubon Magsafe Case for Apple iPhone 15 (6.1) - Black,5,1.6968421767091444e-05
iPhone 15,Other,MBP 14 M3 PRO SB/11C/14C GPU/18G/512GB,13,4.411789659443775e-05
iPhone 15,Other,Logitech G435 Wireless Headset - Black,1,3.3936843534182887e-06
iPhone 15,Case,Apple Watch Series 9 GPS 45mm Midnight Aluminium Case with Midnight Sport Band - M/L,29,9.841684624913037e-05
iPhone 15,Watch Band,Gripp 45/49mm Dual REVERSER watch strap - Dark Blue/Light Blue,8,2.714947482734631e-05
iPhone 15,Case,Gripp Slim Fit Magsafe Case for Apple  iPhone 15 Max  6.7  - Transparent,7,2.375579047392802e-05
iPhone 15,Other,PG MSC-RPL-FATA MORGANA AMBER-AMGT AMGT,1,3.3936843534182887e-06
iPhone 15,Case,Pulse Newton Magsafe Case for iPhone 15 Pro-Grey,15,5.090526530127433e-05
iPhone 15,Case,Gripp Combat Magsafe Case for Apple iPhone 15 Max (6.7) - Clear,1,3.3936843534182887e-06
iPhone 15,Case,Pulse Vegan Leather Case for iPhone 16-Blue,1,3.3936843534182887e-06
iPhone 15,Case,Tekne Clear Magsafe Case for iPhone 15-Clear,3,1.0181053060254866e-05
iPhone 15,Case,IPHONE 15 PLUS CL CASE-ZML,8,2.714947482734631e-05
iPhone 15,Case,Gripp Rubon Magsafe Case for Apple iPhone 15 (6.1) - Grey,2,6.787368706836577e-06
iPhone 15,Case,Gripp Clear Case for Apple iPhone 16 Pro  6.3  - Clear,2,6.787368706836577e-06
iPhone 15,Case,Gripp Bolt Case for Apple iPhone 15 (6.1) - Black,5,1.6968421767091444e-05
iPhone 15,Case,Pulse THOR Leather case for iPhone 15 Pro-Blue,15,5.090526530127433e-05
iPhone 15,Case,Pulse TPU TPE PC shockproof case for iPhone 15 Pro Max-Black,38,0.00012896000542989496
iPhone 15,Case,Gripp Bolt MagSafe Case for Apple iPhone 15 (6.1) - Black,9,3.05431591807646e-05
iPhone 15,Watch Band,Gripp 45/49mm BRUT watch strap - Grey/Black,25,8.484210883545722e-05
iPhone 15,Other,AirTag  1 Pack ,216,0.0007330358203383504
iPhone 15,Case,Gripp Defender Case for Apple iPhone 15 Max (6.7) - Black,5,1.6968421767091444e-05
iPhone 15,Case,Pulse newton magsafe case for iPhone 14,3,1.0181053060254866e-05
iPhone 15,Case,Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16-Black,1,3.3936843534182887e-06
iPhone 15,Other,PG MSC-ALUM-RADIAL GOLD-GD CLR,1,3.3936843534182887e-06
iPhone 15,Case,Pulse Newton Magsafe Case for iPhone 15 Pro-Black,14,4.751158094785604e-05
iPhone 15,Case,RIVACASE 5123 black MacBook 13 sleeve / 12,1,3.3936843534182887e-06
iPhone 15,Case,Pulse HORNOR Case for iPhone 15 Pro-Black,30,0.00010181053060254866
iPhone 15,Case,Apple Watch Series 10 GPS 42mm Jet Black Aluminium Case with Black Sport Band - S/M,4,1.3574737413673155e-05
iPhone 15,Case,PULSE Matt Magsafe Case for iPhone 16-Grey,4,1.3574737413673155e-05
iPhone 15,Other,GrippÂ MagSafeÂ CardÂ HolderÂ With Stand- Blue,18,6.10863183615292e-05
iPhone 15,Cable,240W USB-C Charge Cable (2 m),87,0.0002952505387473911
iPhone 15,Case,IPHONE 15 PLUS SI CASE BLACK-ZML,1,3.3936843534182887e-06
