Series,Product Name,PureQty,ImpureQty,FinalQty
iPhone 16 Pro Max,Gripp Slim Fit Magsafe Case for Apple iPhone 16 Pro Max  6.9  - Grey,3,9,12
iPhone 16 Pro Max,PULSE ARMOUR Case for iPhone 16 Pro Max -Matt Clear,34,29,63
iPhone 16 Pro Max,PULSE ARMOUR Case for iPhone 16 Pro Max-Black,133,79,212
iPhone 16 Pro Max,PULSE ARMOUR Case for iPhone 16 Pro Max-Dark Blue,13,16,29
iPhone 16 Pro Max,PULSE Aluminium Rugged Magsafe Case for iPhone 16 Pro Max -Matt Grey Blue,52,29,81
iPhone 16 Pro Max,PULSE Aluminium Rugged Magsafe Case for iPhone 16 Pro Max-Matt Black,98,60,158
iPhone 16 Pro Max,PULSE Aluminium Rugged Magsafe Case for iPhone 16 Pro Max-Matt Green,10,5,15
iPhone 16 Pro Max,PULSE Matt Magsafe Case for iPhone 16 Pro Max -Grey,96,54,150
iPhone 16 Pro Max,PULSE Matt Magsafe Case for iPhone 16 Pro Max-Black,88,75,163
iPhone 16 Pro Max,PULSE Matt Magsafe Case for iPhone 16 Pro Max-Blue,21,14,35
iPhone 16 Pro Max,Peak Design Mobile - Everyday Clarino Case - iPhone 16 Pro Max - Tan,0,2,2
iPhone 16 Pro Max,Peak Design Mobile - Everyday Fabric Case - iPhone 16 Pro Max - Charcoal,0,1,1
iPhone 16 Pro Max,Peak Design Mobile - Everyday Fabric Case - iPhone 16 Pro Max - Eclipse,0,2,2
iPhone 16 Pro Max,Peak Design Mobile - Everyday Fabric Case - iPhone 16 Pro Max - Sage,0,1,1
iPhone 16 Pro Max,Pulse CLEAR Case with Camera stand for iPhone 16 Pro Max-Black,77,49,126
iPhone 16 Pro Max,Pulse CLEAR Case with Camera stand for iPhone 16 Pro Max-Dark Blue,43,28,71
iPhone 16 Pro Max,Pulse CLEAR Case with Camera stand for iPhone 16 Pro Max-Grey,64,43,107
iPhone 16 Pro Max,Pulse CLEAR Case with Camera stand for iPhone 16 Pro Max-White,143,80,223
iPhone 16 Pro Max,Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16 Pro Max-Black,81,49,130
iPhone 16 Pro Max,Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16 Pro Max-Grey,71,57,128
iPhone 16 Pro Max,Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16 Pro Max-White,158,107,265
iPhone 16 Pro Max,Pulse SILICON Case for iPhone 16 Pro Max-Black,61,55,116
iPhone 16 Pro Max,Pulse SILICON Case for iPhone 16 Pro Max-Storm Blue,18,18,36
iPhone 16 Pro Max,Pulse Vegan Leather Case for iPhone 16 Pro Max -Brown,20,27,47
iPhone 16 Pro Max,Pulse Vegan Leather Case for iPhone 16 Pro Max-Black,36,37,73
iPhone 16 Pro Max,Pulse Vegan Leather Case for iPhone 16 Pro Max-Blue,16,20,36
iPhone 16 Pro Max,UAG-Civilian  Magsafe Case For Iphone 16 Pro Max-14140-Black,1,0,1
iPhone 16 Pro Max,UAG-Pathfinder  Magsafe Case For Iphone 16 Pro Max-14744-Ice,0,2,2
iPhone 16 Pro Max,UAG-Pathfinder Magsafe Case For Iphone 16 Pro Max-14751-Active Neon,0,1,1
iPhone 16 Pro Max,UAG-Pathfinder Magsafe Case For Iphone 16 Pro Max-14867-Silver,1,0,1
iPhone 16 Pro Max,UAG-Plasma XTE Magsafe Case For Iphone 16 Pro Max-15048-Ash/Titanium,1,1,2
iPhone 16 Pro Max,UAG-Plasma XTE Magsafe Case For Iphone 16 Pro Max-15055-Black/Clear,2,0,2
